region,mean_negative,sd_negative,mean_positive,sd_positive
CTX_LH_ENTORHINAL_SUVR,1.119,0.11,1.578,0.321
CTX_RH_ENTORHINAL_SUVR,1.122,0.099,1.582,0.3
CTX_LH_AMYGDALA_SUVR,1.185,0.112,1.642,0.299
CTX_RH_AMYGDALA_SUVR,1.187,0.107,1.632,0.272
CTX_LH_FUSIFORM_SUVR,1.185,0.116,1.69,0.506
CTX_RH_FUSIFORM_SUVR,1.175,0.078,1.665,0.485
CTX_LH_PARAHIPPOCAMPAL_SUVR,1.097,0.095,1.45,0.292
CTX_RH_PARAHIPPOCAMPAL_SUVR,1.091,0.079,1.442,0.313
CTX_LH_INFERIORTEMPORAL_SUVR,1.199,0.132,1.799,0.548
CTX_RH_INFERIORTEMPORAL_SUVR,1.19,0.078,1.774,0.554
CTX_LH_MIDDLETEMPORAL_SUVR,1.161,0.13,1.671,0.523
CTX_RH_MIDDLETEMPORAL_SUVR,1.162,0.077,1.674,0.516
CTX_LH_PRECENTRAL_SUVR,0.997,0.07,1.139,0.264
CTX_RH_PRECENTRAL_SUVR,0.995,0.073,1.133,0.256
CTX_LH_POSTCENTRAL_SUVR,0.972,0.074,1.084,0.252
CTX_RH_POSTCENTRAL_SUVR,0.971,0.074,1.091,0.286